CompressionRatio,DelayMode,PacketSize(byte),CompressDelay(ms),UpThroughput(Mbps),DownThroughput(Mbps),TotalTime(s)
1,0,1000,0,0.0433839,0.0945718,0.268992
1,0,5000,0,0.0784806,0.0975915,0.919552
1,0,10000,0,0.0874355,0.0981412,1.73011
1,1,1000,5,0.0422386,0.0945718,0.273992
1,1,5000,25,0.0748111,0.0975915,0.944552
1,1,10000,50,0.082905,0.0981412,1.78011
0.5,0,1000,0,0.0433839,0.0897026,0.228992
0.5,0,5000,0,0.0784806,0.0969219,0.716032
0.5,0,10000,0,0.0874355,0.0975915,1.32483
0.5,1,1000,10,0.0411523,0.0897026,0.238992
0.5,1,5000,50,0.0714694,0.0969219,0.766032
0.5,1,10000,100,0.0788208,0.0975915,1.42483
0.2,0,1000,0,0.0433839,0.0777008,0.204992
0.2,0,5000,0,0.0784806,0.0945718,0.594272
0.2,0,10000,0,0.0874355,0.0961817,1.08131
0.2,1,1000,25,0.0382044,0.0777008,0.229992
0.2,1,5000,125,0.0630239,0.0945718,0.719272
0.2,1,10000,250,0.0686719,0.0961817,1.33131
